hiddens,mse,,,
1,0.007010898,,,
2,0.006719543,,,1000 epochs
3,0.006692651,,,0.1 p
4,0.00658081,,,sig
5,0.006684527,,,no mo
6,0.006596676,,,
7,0.006652637,,,
8,0.006627581,,,
9,0.006654972,,,
10,0.006740907,,,
11,0.006580361,,,
12,0.006620784,,,
13,0.006639421,,,
14,0.006645115,,,
15,0.006675727,,,
16,0.006633252,,,
17,0.006710321,,,
18,0.006738679,,,
19,0.006712676,,,
20,0.006677851,,,
21,0.006684341,,,
22,0.006638071,,,
23,0.006655573,,,
24,0.00662991,,,
25,0.006711065,,,
26,0.006797049,,,
27,0.006645533,,,
28,0.006698011,,,
29,0.00664943,,,
30,0.00674567,,,